rating,reviews
5,"The Hollywood Bowl is iconic as the sign though not as famous.  It's one of the best venues to see, attend, and experience a concert or entertainment event...."
5,9/10/2019 Joan Jett and Heart with Elle King (Ex's and Oh's) opening. Fun fact: Elle King's father is Rob Schneider! Elle King is an amazing performer! She...
5,"The Hollywood Bowl has always been a great venue for musical acts and this Saturday night was no exception. 

I was there for a Sara Bareilles concert that..."
5,Cute and fun museum. Visited pre-covid and the line to get in was busy. We had booked our tickets online so we fortunately didn't have to wait to get in....
5,"Man, I love the Broad. This is pre COVID-19 in February. Reserve your tickets online or else you have to wait in line for up to an hour to get in. Trust me,..."
4,The Broad has been on the top of my list of places to go for a few years now. I went at the time they opened and still waited in line for about an hour to...
5,"Bittersweet review. This review is for last February. I was one of the lucky chosen few to score tickets to the memorial of one of my childhood idols, Kobe..."
4,"I have been here for a few times for the Lakers and Clippers games. However, I came here today for a special event - Celebration of Kobe and Gianna's Life...."
4,Stopped here to see the Center. Obviously it was closed and crowd control gates from keeping us getting close. It was pretty neat to see the entrance of the...
5,"FROZEN I. January 16, 2020. Pre-Covid. Nice Hollywood theater. Third visit for musical (Wicked 2008, 2018, Frozen 2020). For Frozen I, Uber dropped us off..."
5,"The Pantages in Hollywood is still the best venue to see a musical in all of Los Angeles, if not all of California. You don't have to go to New York to see..."
3,This is a nice theatre.  The seats are comfy and the acoustics seem great.  This is not a place for those with mobility issues.  This place has lots of...
5,Great place to take your children! Everyone is very friendly and there are many exhibits to see. My son was so happy to check out the different dinosaur...
5,Great place to take your family out on the weekend. The staff is friendly and I have been coming to this museum for almost 40 years. So I have seen the...
5,Nice place to learn about the history of our planet. Good for kids. Check out their websites some days are free admission.
5,Popular hiking/running spot with views of the LA cityscape. It's still open during covid and there are still a ton of people. Don't come here if you're...
5,"Getting fresh air during Covid is a must!

My friend and I had a spontaneous hike at Runyon Canyon during a weekday. We began the hike at 11:30am and..."
5,Due to COVID-19 situation all I can do is activity on fresh air. As I live in LA I have a great opportunity to hike in area. Sure I usually hike with my...
5,I can't wait to go back to the movies when it's deemed safe again! The Vista is such a cool spot. It has a lot of character and I believe it's been around...
5,I've always wanted to see a movie here (went to see Birds of Prey) after seeing pictures of the theater online so I'm glad I got my chance now because I...
5,"Very nice old fashioned movie theater! Seats r comfy and refreshments r nice and affordable lol 

You gunna have to hunt for parking :/ I parked on..."
4,"Ah my overpriced home-away-from home. How I've missed your ""premium popcorn,"" sold out Q&As and iconic parking garage. The bougiest theater in LA but one..."
3,Great ambiance and a good selection of movie genres to choose from and offered a different array of movie snacks and beer. I order a jalapeno and cheese...
2,"If I'm paying premium prices ($18 pp) then I expect a premium experience. 

The first thing that irked me and is a God given right to every American is free..."
5,"Haven't been back since the early 2000s and just wanted to pay a visit and support the business in these covid times. 

Did some early Xmas shopping, picked..."
5,"I can't believe that I ""forgot"" about Soap Plant...my last visit was many years ago. They carry all kinds of interesting and whimsical items, things that..."
5,COVID-19 UPDATE!!-Limit 10 ppl in shop. Limit 30 Minutes in the shop. Pay attention to arrows on the floor. I Adore this shop. Started shopping at the...
5,"I love the Edison, everything about it. Love the ambience and the decor. I love the music and the food. The service was very accommodating, was able to get..."
5,"After dinner @ The Redbird, me and my homie walked a half block to get to the Edison to meet with some LA peeps we met. Edison is located in the basement of..."
4,"If I had to describe this place, it would be if a classy 1920s evil millionaire villain opened an underground speakeasy for all the villains to come in the..."
5,"My #1250 goes to Griffith Park!

It wasn't love at first sight! As an European, I expected a park with green lawns and gardens.

Griffith Park is huge, the..."
5,"Popular recreational area with a bunch of interconnecting hiking trails. Some of the trails are out-and-back, but you have the option of taking a quick hike..."
5,"Another in my series of weekend hiking excursions, and I had to visit the iconic Griffith Park.  There are various trails all around the area, and I used..."
5,"Review for 'Salute to Vienna' held at Walt Disney Concert Hall (Frank Gehry's building)

I went here to see 'Salute to Vienna' awhile ago both for the event..."
5,"Been here many times.  Thought maybe it's time to write something about it. 

Love coming here for the LA Phil events.  Growing up listen to classical music..."
5,"Writing a review of an iconic LA landmark?  Not sure I'm qualified but here are some of my experiences and tips:

It's one of the top tourist spots in LA so..."
5,"OMG WERE DO I EVEN START! 

everything about this place is superb, from the hospitality, to the food, the drinks, live music, canopy's .. everything is just..."
5,I can't believe all these years that I have been going to the San Antonio Winery and never did a review. The Mrs. and I actually stopped into the winery on...
5,"Amazing staff, taking all necessary precautions during this pandemic. Our family thoroughly enjoyed the outdoor patio and food. Service was great and..."
5,"Well, when I was there, there were a lot of construction going on. There's a very lengthy walking park near by which had a few people enjoying time with..."
5,"One of the oldest stadiums still around, and one of the best. You have to experience this place to understand the gravity of how stellar it truly is. 

On..."
1,"If I could give this drive in experience a 0 I would. Not only was I targeted and harassed by the security LEO, but I was escorted out by police for no..."
5,This theatre is amazing. There is a great deal of history tied to this place. Upstairs you can see story boards that show pictures from when the building...
3,"This was my first time visiting this theater. We purchased 4 VIP seats to Star Wars: The Rise of Skywalker.  

The nice thing about this is the seats are..."
5,The husband and I recently joined friends here to catch the newest rendition of The Lion King and we loved the experience of the marvelous and nostalgic El...
5,La Brea Tar Pits & Museum is on Wilshire Bl in the Hancock Park area of Los Angeles. The museum remains closed until further notice. The Tar Pits and park...
5,"I love this place. It's quite and clean, I feel relaxed in the COVID-19 period walking in the outdoor area of the museum."
5,Of course the museum is closed but it's always been  something I wanted to do so I came anyway and I wasn't disappointed at all even during this pandemic ....
5,What else can I say about the Greek Theatre that hasn't already been said by other people? I cannot find any bad or negative things to say! I love the Greek...
1,Worthless and horrible.  I will never buy tickets for the venue again.  They do not answer fb messages or comments and you can't reach them by phone...
4,"I've been to the Greek Theater a few times, always wanted to check out this cool venue. It's more intimate and smaller than Hollywood Bowl,with a nice,..."
5,La Creme De La Creme!  What a wonderful experience!  We booked Paint and Sip Studio LA for a 2nd grade virtual paint & sip party.  Artist Brandon was so...
5,"When it was first announced that my company was doing a painting event for this month's Zoom social meeting, I wasn't certain if I'd enjoy it or not. It..."
5,Brandon was a wonderful Paint & Sip host for our virtual summer company event.  He has a special talent for engaging participants while teaching painting in...
5,"This landmark is so famous that Apple Maps created an icon when you zoom into the location of LACMA. Designed by Chris Burden, there are 202 street lamps..."
5,"This is my second time to the Lights at LACMA and it really is the perfect photo opportunity! 

Parking can be found nearby on the street metered or..."
5,Although there's Covid they are still in and bright. There's just a line to go in and you would have to wear a mask the whole time even with picture! But...
5,"One of Hollywood's staples for quality music- especially if they are singer/songwriters.
With an entrance tucked down an alleyway and around the back, Hotel..."
5,Very cool night spot to see an artist/musician. Small venues dark and eclectic. Very hip and trendy with a pulse. We got to see one of my favorite artists...
3,Disclosure:  This was my first time visiting a Hollywood club. My brother would say that I live a too-sheltered life in the suburbs. I'm actually okay with...
5,"I lived in West LA a mile or so from the Landmark from 2008-2011, and it was my local neighborhood theater.  I hate how much I took how great it was for..."
5,"This theater holds a lot of screenings for the PGA, which is really all the times I have come here. 

3 hours free parking after that you gotta validate and..."
5,This is a pretty nice movie theater. The first 3 hours is complimentary parking. They also have events with variety where you get to see awesome movies and...
4,Really cool barcade to come. They have plenty of classic games and fun things to do here. Really chill atmosphere and a great place to grab a drink. They...
4,Love me a good arcade and 82 is close to as good as it gets... an easy walk from the Goldline station for Little Tokyo... really amazing wall art both...
4,"Little Tokyo is literally a hop, skip and a jump away from the Arts District, and EightyTwo just happens to be on the borderlands of the two areas.

With..."
5,"I have been attending shows here at the upright citizens brigade every so often. I don't remember how I stumbled upon this little jewel, but I know that..."
1,"Terrible.

This was a while back- we had bought tickets to the show online. showed up and they weren't letting people in yet. we walked around the..."
4,"I had a great time, randomly decided to check out a show on a Friday night (this was about a month ago) - it was only $10, improv, seating is on a first..."
5,"My son and I were excited to read that the Tesla Cybertruck was going to be on display for Father's Day weekend , so we definitely took the opportunity to..."
5,"Fun trip for us! (disclaimer: I'm a total car guy!)
Main reason for going was to see the Tesla CyberTruck in person since we have one on order :-)
Lots of..."
5,"We visited the museum this past February.
I'm just catching up on my reviews...

This place is a lot of fun with lots to see!
Definitely a great place to..."
5,"I love coming here and always try to make an effort to attend at least one screening every summer. It's fun for a date night and as a group outing!

I..."
1,This review is directed towards the drive-in I attended the Casper Drive-In it was awful The parking was a mess I was so far away from the screen I could...
1,"I love cinespia, I go every summer. I was so happy to find out they were doing drive-in screenings. I assumed it would be the same as parking in the..."
5,"I don't why I have never came here before.... before I start this review let's just say they have skeeball guys (unfortunately not open due to covid).

The..."
5,"Amazing selection of Sours, IPAs, and Light Lager-esque styles. Also a Hefeweizen! You can even get their beer to go! The Staff work really diligently and..."
