,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address,loc
0,400,,06TH,AVE,"400 06TH AVE, San Diego, CA, USA",
1,5000,,UNIVERSITY,AVE,"5000 UNIVERSITY AVE, San Diego, CA, USA","University Avenue, Cherokee Point, Normal Heights, San Diego, San Diego County, California, 92104, United States"
2,800,,SAWTELLE,AVE,"800 SAWTELLE AVE, San Diego, CA, USA","Sawtelle Avenue, Lomita, San Diego, San Diego County, California, 91945, United States"
3,5000,,UNIVERSITY,AVE,"5000 UNIVERSITY AVE, San Diego, CA, USA","University Avenue, Cherokee Point, Normal Heights, San Diego, San Diego County, California, 92104, United States"
4,5200,,CLAIREMONT MESA,BLV,"5200 CLAIREMONT MESA BLV, San Diego, CA, USA","Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92124, United States"
5,0,,CLEVELAND,,"0 CLEVELAND, San Diego, CA, USA",
6,4300,,MANZANITA,DR,"4300 MANZANITA DR, San Diego, CA, USA","Manzanita Drive, Fox Canyon, City Heights, San Diego, San Diego County, California, 92105, United States"
7,3800,,DALBERGIA,CT,"3800 DALBERGIA CT, San Diego, CA, USA","Dalbergia Court, National City, San Diego County, California, 92136, United States"
8,4000,,LOGAN,AVE,"4000 LOGAN AVE, San Diego, CA, USA","Logan Avenue, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
9,0,S,37TH,ST,"0 S 37TH ST, San Diego, CA, USA","South 37th Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
10,1200,,HOTEL CIRCLE SOUTH,,"1200 HOTEL CIRCLE SOUTH, San Diego, CA, USA","Hotel Circle South, Hillcrest, San Diego, San Diego County, California, 92103, United States"
11,5600,,MISSION CENTER,RD,"5600 MISSION CENTER RD, San Diego, CA, USA","Mission Center Road, Birdland, Linda Vista, San Diego, San Diego County, California, 92133, United States"
12,4900,,SANTA CRUZ,AVE,"4900 SANTA CRUZ AVE, San Diego, CA, USA","Santa Cruz Avenue, Fleetridge, Ocean Beach, San Diego, San Diego County, California, 92107, United States"
13,7400,,HYATT,ST,"7400 HYATT ST, San Diego, CA, USA","Hyatt Street, Birdland, Linda Vista, San Diego, San Diego County, California, 92111, United States"
14,3500,,45TH,ST,"3500 45TH ST, San Diego, CA, USA","45th Street, Chollas View, San Diego, San Diego County, California, 92102-4810, United States"
15,2200,,EL CAJON,BLV,"2200 EL CAJON BLV, San Diego, CA, USA","El Cajon Boulevard, Cajon Heights, El Cajon, San Diego County, California, 92020, United States"
16,7400,,SKYLINE,DR,"7400 SKYLINE DR, San Diego, CA, USA","Skyline Drive, Lomita, San Diego, San Diego County, California, 91239, United States"
17,3500,,LOGAN,AVE,"3500 LOGAN AVE, San Diego, CA, USA","Logan Avenue, Sherman Heights, San Diego, San Diego County, California, 92101, United States"
18,3600,,KNOXIE,ST,"3600 KNOXIE ST, San Diego, CA, USA","Knoxie Street, San Diego, San Diego County, California, 92105, United States"
19,16200,,AVENIDA VENUSTO,,"16200 AVENIDA VENUSTO, San Diego, CA, USA","Avenida Venusto, Rancho Bernardo, San Diego, San Diego County, California, 92128, United States"
20,6700,,BROOKLYN,AVE,"6700 BROOKLYN AVE, San Diego, CA, USA","Brooklyn Avenue, Encanto, San Diego, San Diego County, California, 92114, United States"
21,0,W,ASH,ST,"0 W ASH ST, San Diego, CA, USA","West Ash Street, Columbia, Banker's Hill, San Diego, San Diego County, California, 92101-3414, United States"
22,500,S,36TH,ST,"500 S 36TH ST, San Diego, CA, USA","South 36th Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
23,4800,,ATLANTA,DR,"4800 ATLANTA DR, San Diego, CA, USA","Atlanta Drive, Mid-City, San Diego, San Diego County, California, 92115, United States"
